original_name,aws_region,aws_sub_region,aws_municipality,display_name,search_method
"Aceh Barat","","Aceh","Aceh Barat","Aceh Barat, Aceh, Sumatera, Indonesia",""
"Aceh Barat Daya","","Aceh","Aceh Barat Daya","Aceh Barat Daya, Aceh, Sumatera, Indonesia",""
"Aceh Besar","","Aceh","Aceh Besar","Aceh Besar, Aceh, Sumatera, Indonesia",""
"Aceh Jaya","","Aceh","Aceh Jaya","Aceh Jaya, Aceh, Sumatera, Indonesia",""
"Aceh Selatan","","Aceh","Aceh Selatan","Aceh Selatan, Aceh, Sumatera, Indonesia",""
"Aceh Singkil","","Aceh","Aceh Singkil","Aceh Singkil, Aceh, Sumatera, Indonesia",""
"Aceh Tamiang","","Aceh","Aceh Tamiang","Aceh Tamiang, Aceh, Sumatera, 24476, Indonesia",""
"Aceh Tengah","","Aceh","Aceh Tengah","Aceh Tengah, Aceh, Sumatera, Indonesia",""
"Aceh Tenggara","","Aceh","Aceh Tenggara","Aceh Tenggara, Aceh, Sumatera, 24651, Indonesia",""
"Aceh Timur","","Aceh","Aceh Timur","Aceh Timur, Aceh, Sumatera, Indonesia",""
"Aceh Utara","","Aceh","Aceh Utara","Aceh Utara, Aceh, Sumatera, Indonesia",""
"Agam","","Sumatera Barat","Agam","Agam, Sumatera Barat, Sumatera, Indonesia",""
"Ambon","","Maluku","Ambon","Ambon, Maluku, Indonesia",""
"Asahan","","Sumatera Utara","Asahan","Asahan, Sumatera Utara, Sumatera, Indonesia",""
"Badung","","Bali","Badung","Badung, Bali, Nusa Tenggara, Indonesia",""
"Balangan","","Kalimantan Selatan","Balangan","Balangan, Kalimantan Selatan, 71662, Indonesia",""
"Balikpapan","","Kalimantan Timur","Balikpapan","Balikpapan, Kalimantan Timur, Indonesia",""
"Banda Aceh","","Aceh","Banda Aceh","Banda Aceh, Aceh, Sumatera, Indonesia",""
"Bandar Lampung","","Lampung","Bandar Lampung","Bandar Lampung, Lampung, Sumatera, Indonesia",""
"Bandung","Bandung Raya","Jawa Barat","Bandung","Jawa Barat, Jalan Raya Cibiru, Cipadung Kidul, Panyileukan, Cinunuk, Kabupaten Bandung, Jawa Barat, Jawa, 40626, Indonesia",""
"Bandung Barat","Bandung Raya","Jawa Barat","Bandung Barat","Bandung Barat, Jawa Barat, Jawa, Indonesia",""
"Bandung Kabupaten","Bandung Raya","Jawa Barat","Bandung Kabupaten","Jawa Barat, Jalan Raya Cibiru, Cipadung Kidul, Panyileukan, Cinunuk, Kabupaten Bandung, Jawa Barat, Jawa, 40626, Indonesia",""
"Bandung Kota","Bandung Raya","Jawa Barat","Bandung Kota","Jawa Barat, Jalan Raya Cibiru, Cipadung Kidul, Panyileukan, Cinunuk, Kabupaten Bandung, Jawa Barat, Jawa, 40626, Indonesia",""
"Banggai","","Sulawesi Tengah","Banggai","Banggai, Sulawesi Tengah, Sulawesi, Indonesia",""
"Bangka","","Kepulauan Bangka Belitung","Bangka","Pulau Bangka, Kepulauan Bangka Belitung, Sumatera, Indonesia",""
"Bangka Barat","","Kepulauan Bangka Belitung","Bangka Barat","Bangka Barat, Kepulauan Bangka Belitung, Sumatera, Indonesia",""
"Bangka Selatan","","Kepulauan Bangka Belitung","Bangka Selatan","Bangka Selatan, Kepulauan Bangka Belitung, Sumatera, Indonesia",""
"Bangka Tengah","","Kepulauan Bangka Belitung","Bangka Tengah","Bangka Tengah, Kepulauan Bangka Belitung, Sumatera, Indonesia",""
"Bangkalan","","Jawa Timur","Bangkalan","Bangkalan, Jawa Timur, Jawa, 69116, Indonesia",""
"Bangli","","Bali","Bangli","Bangli, Bali, Nusa Tenggara, Indonesia",""
"Banjar","","Jawa Barat","Banjar","Banjar, Jawa Barat, Jawa, Indonesia",""
"Banjarmasin","","Kalimantan Selatan","Banjarmasin","Banjarmasin, Kalimantan Selatan, Indonesia",""
"Banjarnegara","","Jawa Tengah","Banjarnegara","Banjarnegara, Jawa Tengah, Jawa, Indonesia",""
"Bantul","","Daerah Istimewa Yogyakarta","Bantul","Bantul, Daerah Istimewa Yogyakarta, Jawa, Indonesia",""
"Banyu Asin","","Sumatera Selatan","Banyu Asin","Air Banyu Asin, Banyuasin, Sumatera Selatan, Sumatera, Indonesia",""
"Banyumas","","Jawa Tengah","Banyumas","Banyumas, Jawa Tengah, Jawa, Indonesia",""
"Banyuwangi","","Jawa Timur","Banyuwangi","Banyuwangi, Jawa Timur, Jawa, Indonesia",""
"Barito Kuala","","Kalimantan Selatan","Barito Kuala","Barito Kuala, Kalimantan Selatan, 70582, Indonesia",""
"Barito Timur","","Kalimantan Tengah","Barito Timur","Barito Timur, Kalimantan Tengah, 73652, Indonesia",""
"Barito Utara","","Kalimantan Tengah","Barito Utara","Barito Utara, Kalimantan Tengah, Indonesia",""
"Barru","","Sulawesi Selatan","Barru","Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",""
"Batam","","Kepulauan Riau","Batam","Kepulauan Riau, Jalan Brigjen Katamso, Tanjung Uncang, Bukit Tempayan, Batam, Kepulauan Riau, Sumatera, 29424, Indonesia",""
"Batang","","Jawa Tengah","Batang","Batang, Jawa Tengah, Jawa, Indonesia",""
"Batang Hari","","Jambi","Batang Hari","PT Kurnia Batang Hari Berjaya, Jebak, Batanghari, Jambi, Sumatera, Indonesia",""
"Batu","","Jawa Timur","Batu","Kota Batu, Jawa Timur, Jawa, Indonesia",""
"Batu Bara","","Sumatera Utara","Batu Bara","Batu Bara, Sumatera Utara, Sumatera, Indonesia",""
"Bau-Bau","","Sulawesi Tenggara","Bau-Bau","PLTD Bau-bau, Kanakea Dalam, Baubau, Sulawesi Tenggara, Sulawesi, Indonesia",""
"Bekasi","JABODETABEK","Jawa Barat","Bekasi","Jawa Barat, Jalan Gunung Salak, Perumnas 2, Lagoon, Kayuringinjaya, Bekasi, Jawa Barat, Jawa, 17144, Indonesia",""
"Bekasi Kabupaten","JABODETABEK","Jawa Barat","Bekasi Kabupaten","Kab Bekasi, Jawa Barat, Jawa, Indonesia",""
"Bekasi Kota","JABODETABEK","Jawa Barat","Bekasi Kota","Bekasi, Jalan Insinyur Haji Juanda, Proyek, Margajaya, Bekasi, Jawa Barat, Jawa, 17141, Indonesia",""
"Belitung","","Kepulauan Bangka Belitung","Belitung","Pulau Belitung, Kepulauan Bangka Belitung, Sumatera, Indonesia",""
"Belitung Timur","","Kepulauan Bangka Belitung","Belitung Timur","Belitung Timur, Kepulauan Bangka Belitung, Sumatera, Indonesia",""
"Belu","","Nusa Tenggara Timur","Belu","Belu, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"Bener Meriah","","Aceh","Bener Meriah","Bener Meriah, Aceh, Sumatera, Indonesia",""
"Bengkalis","","Riau","Bengkalis","Bengkalis, Riau, Sumatera, 28711, Indonesia",""
"Bengkayang","","Kalimantan Barat","Bengkayang","Bengkayang, Kalimantan Barat, Indonesia",""
"Bengkulu","","Bengkulu","Bengkulu","Bengkulu, Sumatera, Indonesia",""
"Bengkulu Selatan","","Bengkulu","Bengkulu Selatan","Bengkulu Selatan, Bengkulu, Sumatera, 38515, Indonesia",""
"Bengkulu Tengah","","Bengkulu","Bengkulu Tengah","Bengkulu Tengah, Bengkulu, Sumatera, 38125, Indonesia",""
"Bengkulu Utara","","Bengkulu","Bengkulu Utara","Bengkulu Utara, Bengkulu, Sumatera, Indonesia",""
"Berau","","Kalimantan Timur","Berau","Berau, Kalimantan Timur, Indonesia",""
"Bima","","Nusa Tenggara Barat","Bima","Bima, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",""
"Binjai","","Sumatera Utara","Binjai","Binjai, Kota Binjai, Sumatera Utara, Sumatera, 20712, Indonesia",""
"Bintan","","Kepulauan Riau","Bintan","Bintan, Kepulauan Riau, Sumatera, Indonesia",""
"Bireuen","","Aceh","Bireuen","Bireuen, Aceh, Sumatera, Indonesia",""
"Bitung","","Sulawesi Utara","Bitung","Bitung, Sulawesi Utara, Sulawesi, Indonesia",""
"Blitar","","Jawa Timur","Blitar","Blitar, Jawa Timur, Jawa, Indonesia",""
"Blitar Kabupaten","","Jawa Timur","Blitar Kabupaten","Blitar, Jawa Timur, Jawa, Indonesia",""
"Blitar Kota","","Jawa Timur","Blitar Kota","Blitar, 75, Jalan Mastrip, Sukorejo, Blitar, Jawa Timur, Jawa, 66111, Indonesia",""
"Blora","","Jawa Tengah","Blora","Blora, Jawa Tengah, Jawa, 58261, Indonesia",""
"Boalemo","","Gorontalo","Boalemo","Boalemo, Gorontalo, Sulawesi, 96262, Indonesia",""
"Bogor","JABODETABEK","Jawa Barat","Bogor","Bogor, Jawa Barat, Jawa, Indonesia",""
"Bogor Kabupaten","","Jawa Barat","Bogor Kabupaten","Bogor, Indramayu, Jawa Barat, Jawa, 45256, Indonesia",""
"Bogor Kota","JABODETABEK","Jawa Barat","Bogor Kota","Bogor, Jalan Nyi Raja Permas, Bogor Tengah, Bogor, Jawa Barat, Jawa, 16121, Indonesia",""
"Bojonegoro","","Jawa Timur","Bojonegoro","Bojonegoro, Jalan Gajah Mada, Sukorejo, Bojonegoro, Jawa Timur, Jawa, 62118, Indonesia",""
"Bolaang Mongondow","","Sulawesi Utara","Bolaang Mongondow","Bolaang Mongondow, Sulawesi Utara, Sulawesi, 95753, Indonesia",""
"Bolaang Mongondow Timur","","Sulawesi Utara","Bolaang Mongondow Timur","Bolaang Mongondow Timur, Sulawesi Utara, Sulawesi, 95786, Indonesia",""
"Bondowoso","","Jawa Timur","Bondowoso","Bondowoso, Jawa Timur, Jawa, Indonesia",""
"Bone","","Sulawesi Selatan","Bone","Bone, Sulawesi Selatan, Sulawesi, Indonesia",""
"Bone Bolango","","Gorontalo","Bone Bolango","Bone Bolango, Gorontalo, Sulawesi, Indonesia",""
"Bontang","","Kalimantan Timur","Bontang","Bontang, Kalimantan Timur, Indonesia",""
"Boyolali","","Jawa Tengah","Boyolali","Boyolali, Jawa Tengah, Jawa, Indonesia",""
"Brebes","","Jawa Tengah","Brebes","Brebes, Gang 1 Jalan Husni Thamrin, Pesanggrahan, Brebes, Jawa Tengah, Jawa, 52212, Indonesia",""
"Bukittinggi","","Sumatera Barat","Bukittinggi","Bukittinggi, Sumatera Barat, Sumatera, Indonesia",""
"Buleleng","","Bali","Buleleng","Buleleng, Bali, Nusa Tenggara, Indonesia",""
"Bulukumba","","Sulawesi Selatan","Bulukumba","Bulukumba, Sulawesi Selatan, Sulawesi, Indonesia",""
"Bulungan","","Kalimantan Utara","Bulungan","PMI Provinsi Kalimantan Utara, Jalan Nuri, Tanjung Selor Hilir, Bulungan, 77212, Indonesia",""
"Bungo","","Jambi","Bungo","Bungo, Jambi, Sumatera, 37211, Indonesia",""
"Buol","","Sulawesi Tengah","Buol","Buol, Sulawesi Tengah, Sulawesi, 94564, Indonesia",""
"Buton Selatan","","Sulawesi Tenggara","Buton Selatan","Buton Selatan, Sulawesi Tenggara, Sulawesi, 93741, Indonesia",""
"Ciamis","","Jawa Barat","Ciamis","Ciamis, Jawa Barat, Jawa, Indonesia",""
"Cianjur","","Jawa Barat","Cianjur","Cianjur, Gang Anggrek, Cianjur, Jawa Barat, Jawa, 43212, Indonesia",""
"Cikarang","JABODETABEK","Jawa Barat","Cikarang","Cikarang, Jalan Yos Sudarso, Cikarang Kota, Cikarang, Kab Bekasi, Jawa Barat, Jawa, 17383, Indonesia",""
"Cilacap","","Jawa Tengah","Cilacap","Cilacap, Jalan Swadaya, RW 01 Kel. Tambakreja, Desa Tambakreja, Cilacap, Jawa Tengah, Jawa, 53212, Indonesia",""
"Cilegon","","Banten","Cilegon","Cilegon, Banten, Jawa, Indonesia",""
"Cimahi","Bandung Raya","Jawa Barat","Cimahi","Cimahi, Jawa Barat, Jawa, Indonesia",""
"Cirebon","","Jawa Barat","Cirebon","Kota Cirebon, Jawa Barat, Jawa, Indonesia",""
"Cirebon Kabupaten","","Jawa Barat","Cirebon Kabupaten","Indosiar Cirebon, Jalan Raden Dewi Sartika, Bobos, Kabupaten Cirebon, Jawa Barat, Jawa, 45652, Indonesia",""
"Cirebon Kota","","Jawa Barat","Cirebon Kota","Cirebon, Jalan Stasiun Kejaksan, Kebonbaru, Kejaksan, Kota Cirebon, Jawa Barat, Jawa, 45124, Indonesia",""
"Dairi","","Sumatera Utara","Dairi","Dairi, Sumatera Utara, Sumatera, Indonesia",""
"Deli Serdang","","Sumatera Utara","Deli Serdang","Deli Serdang, Sumatera Utara, Sumatera, Indonesia",""
"Demak","","Jawa Tengah","Demak","Demak, Jawa Tengah, Jawa, Indonesia",""
"Denpasar","","Bali","Denpasar","Denpasar, Bali, Nusa Tenggara, Indonesia",""
"Depok","JABODETABEK","Jawa Barat","Depok","Depok, Jawa Barat, Jawa, Indonesia",""
"Dharmasraya","","Sumatera Barat","Dharmasraya","Dharmasraya, Sumatera Barat, Sumatera, Indonesia",""
"Dompu","","Nusa Tenggara Barat","Dompu","Dompu, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",""
"Donggala","","Sulawesi Tengah","Donggala","Donggala, Sulawesi Tengah, Sulawesi, Indonesia",""
"Dumai","","Riau","Dumai","Dumai, Riau, Sumatera, Indonesia",""
"Empat Lawang","","Sumatera Selatan","Empat Lawang","Empat Lawang, Sumatera Selatan, Sumatera, Indonesia",""
"Ende","","Nusa Tenggara Timur","Ende","Ende, Nusa Tenggara Timur, Nusa Tenggara, 86311, Indonesia",""
"Enrekang","","Sulawesi Selatan","Enrekang","Enrekang, Sulawesi Selatan, Sulawesi, Indonesia",""
"Flores Timur","","Nusa Tenggara Timur","Flores Timur","Flores Timur, Nusa Tenggara Timur, Nusa Tenggara, 86251, Indonesia",""
"Garut","","Jawa Barat","Garut","Garut, Jawa Barat, Jawa, Indonesia",""
"Gianyar","","Bali","Gianyar","Gianyar, Bali, Nusa Tenggara, Indonesia",""
"Gorontalo","","Gorontalo","Gorontalo","Gorontalo, Sulawesi, Indonesia",""
"Gorontalo Kabupaten","","Gorontalo","Gorontalo Kabupaten","Gorontalo, Sulawesi, Indonesia",""
"Gorontalo Kota","","Gorontalo","Gorontalo Kota","Gorontalo, Sulawesi, Indonesia",""
"Gorontalo Utara","","Gorontalo","Gorontalo Utara","Gorontalo Utara, Gorontalo, Sulawesi, Indonesia",""
"Gowa","","Sulawesi Selatan","Gowa","Gowa, Sulawesi Selatan, Sulawesi, Indonesia",""
"Gresik","","Jawa Timur","Gresik","Gresik, Jawa Timur, Jawa, 61116, Indonesia",""
"Grobogan","","Jawa Tengah","Grobogan","Grobogan, Jawa Tengah, Jawa, Indonesia",""
"Gunung Kidul","","Daerah Istimewa Yogyakarta","Gunung Kidul","Gunung Kidul, Jalan Raya Wonosari - Yogyakarta, Ngasemayu, Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta, Jawa, 55862, Indonesia",""
"Halmahera Utara","","Maluku Utara","Halmahera Utara","Halmahera Utara, Maluku Utara, Maluku, Indonesia",""
"Hulu Sungai Selatan","","Kalimantan Selatan","Hulu Sungai Selatan","Hulu Sungai Selatan, Kalimantan Selatan, Indonesia",""
"Hulu Sungai Utara","","Kalimantan Selatan","Hulu Sungai Utara","Hulu Sungai Utara, Kalimantan Selatan, Indonesia",""
"Humbang Hasundutan","","Sumatera Utara","Humbang Hasundutan","Humbang Hasundutan, Sumatera Utara, Sumatera, Indonesia",""
"Indragiri Hilir","","Riau","Indragiri Hilir","Indragiri Hilir, Riau, Sumatera, Indonesia",""
"Indragiri Hulu","","Riau","Indragiri Hulu","Indragiri Hulu, Riau, Sumatera, Indonesia",""
"Indramayu","","Jawa Barat","Indramayu","Indramayu, Jawa Barat, Jawa, Indonesia",""
"Jakarta","JABODETABEK","DKI Jakarta","Jakarta","Jakarta, 2, Jalan KH. Wahid Hasyim, RW 04, Gondangdia, Menteng, Jakarta Pusat, Daerah Khusus ibukota Jakarta, Jawa, 10350, Indonesia",""
"Jakarta Barat","","DKI Jakarta","Jakarta Barat","Jakarta Barat, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"Jakarta Pusat","JABODETABEK","DKI Jakarta","Jakarta Pusat","Jakarta Pusat, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"Jakarta Selatan","","DKI Jakarta","Jakarta Selatan","Jakarta Selatan, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"Jakarta Timur","JABODETABEK","DKI Jakarta","Jakarta Timur","Jakarta Timur, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"Jakarta Utara","JABODETABEK","DKI Jakarta","Jakarta Utara","Jakarta Utara, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"Jambi","","Jambi","Jambi","Jambi, Sumatera, Indonesia",""
"Jayapura","","Papua","Jayapura","Jayapura, Papua, Western New Guinea, Indonesia",""
"Jayapura Kabupaten","","Papua","Jayapura Kabupaten","Bandar Udara Internasional Sentani, Jalan Kemiri, Hawai, Sentani, Jayapura, Papua, Western New Guinea, 99359, Indonesia",""
"Jayapura Kota","","Papua","Jayapura Kota","Jayapura, Jalan Soa Siu, Mandala, Jayapura, Papua, Western New Guinea, 99111, Indonesia",""
"Jember","","Jawa Timur","Jember","Jember, Jawa Timur, Jawa, Indonesia",""
"Jembrana","","Bali","Jembrana","Selat Bali, Jembrana, Bali, Nusa Tenggara, Indonesia",""
"Jeneponto","","Sulawesi Selatan","Jeneponto","Jeneponto, Sulawesi Selatan, Sulawesi, Indonesia",""
"Jepara","","Jawa Tengah","Jepara","Jepara, Jawa Tengah, Jawa, Indonesia",""
"Jombang","","Jawa Timur","Jombang","Jombang, Jawa Timur, Jawa, Indonesia",""
"Kampar","","Riau","Kampar","Kampar, Riau, Sumatera, Indonesia",""
"Kapuas","","Kalimantan Tengah","Kapuas","Kapuas, Kalimantan Tengah, Indonesia",""
"Kapuas Hulu","","Kalimantan Barat","Kapuas Hulu","Kapuas Hulu, Kalimantan Barat, Indonesia",""
"Karanganyar","","Jawa Tengah","Karanganyar","Karanganyar, Jalan Stasiun, Karanganyar, Kebumen, Jawa Tengah, Jawa, 54364, Indonesia",""
"Karangasem","","Bali","Karangasem","Karangasem, Bali, Nusa Tenggara, Indonesia",""
"Karawang","","Jawa Barat","Karawang","Karawang, Jalan Arief Rahman Hakim, Nagasari, Karawang, Jawa Barat, Jawa, 41312, Indonesia",""
"Karimun","","Kepulauan Riau","Karimun","Karimun, Kepulauan Riau, Sumatera, Indonesia",""
"Karo","","Sumatera Utara","Karo","Karo, Sumatera Utara, Sumatera, Indonesia",""
"Katingan","","Kalimantan Tengah","Katingan","Katingan, Kalimantan Tengah, Indonesia",""
"Kaur","","Bengkulu","Kaur","Kaur, Bengkulu, Sumatera, 38564, Indonesia",""
"Kayong Utara","","Kalimantan Barat","Kayong Utara","Kayong Utara, Kalimantan Barat, Indonesia",""
"Kebumen","","Jawa Tengah","Kebumen","Kebumen, Jalan Stasiun, Kebumen, Jawa Tengah, Jawa, 54312, Indonesia",""
"Kediri","","Jawa Timur","Kediri","Kota Kediri, Jawa Timur, Jawa, Indonesia",""
"Kediri Kabupaten","","Jawa Timur","Kediri Kabupaten","Kediri, Songgon, Banyuwangi, Jawa Timur, Jawa, 68463, Indonesia",""
"Kediri Kota","","Jawa Timur","Kediri Kota","Kediri, Jalan Stasiun, Balowerti, Kota, Kota Kediri, Jawa Timur, Jawa, 64123, Indonesia",""
"Keerom","","Papua","Keerom","Keerom, Papua, Western New Guinea, Indonesia",""
"Kendal","","Jawa Tengah","Kendal","Kendal, Jawa Tengah, Jawa, 51313, Indonesia",""
"Kendari","","Sulawesi Tenggara","Kendari","Kendari, Sulawesi Tenggara, Sulawesi, Indonesia",""
"Kepulauan Anambas","","Kepulauan Riau","Kepulauan Anambas","Kepulauan Anambas, Kepulauan Riau, Sumatera, Indonesia",""
"Kepulauan Mentawai","","Sumatera Barat","Kepulauan Mentawai","Kepulauan Mentawai, Sumatera Barat, Sumatera, Indonesia",""
"Kepulauan Seribu","JABODETABEK","DKI Jakarta","Kepulauan Seribu","Kepulauan Seribu, Daerah Khusus ibukota Jakarta, Jawa, 14520, Indonesia",""
"Kepulauan Talaud","","Sulawesi Utara","Kepulauan Talaud","Kabupaten Kepulauan Talaud, Sulawesi Utara, Sulawesi, 95885, Indonesia",""
"Ketapang","","Kalimantan Barat","Ketapang","Delta Pawan, Ketapang, Kalimantan Barat, Indonesia",""
"Klaten","","Jawa Tengah","Klaten","Klaten, 53, Jalan Haji Samanhudi, Klaten, Klaten City, Klaten, Jawa Tengah, Jawa, 57412, Indonesia",""
"Klungkung","","Bali","Klungkung","Klungkung, Bali, Nusa Tenggara, Indonesia",""
"Kolaka","","Sulawesi Tenggara","Kolaka","Kolaka, Sulawesi Tenggara, Sulawesi, 93563, Indonesia",""
"Kolaka Utara","","Sulawesi Tenggara","Kolaka Utara","Kolaka Utara, Sulawesi Tenggara, Sulawesi, Indonesia",""
"Konawe","","Sulawesi Tenggara","Konawe","Konawe, Sulawesi Tenggara, Sulawesi, Indonesia",""
"Konawe Selatan","","Sulawesi Tenggara","Konawe Selatan","Konawe Selatan, Sulawesi Tenggara, Sulawesi, Indonesia",""
"Konawe Utara","","Sulawesi Tenggara","Konawe Utara","Konawe Utara, Sulawesi Tenggara, Sulawesi, 93355, Indonesia",""
"Kota Kupang","","Nusa Tenggara Timur","Kota Kupang","Kupang, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"Kotabaru","","Kalimantan Selatan","Kotabaru","Kotabaru, Kalimantan Selatan, Indonesia",""
"Kotawaringin Barat","","Kalimantan Tengah","Kotawaringin Barat","Kotawaringin Barat, Kalimantan Tengah, Indonesia",""
"Kotawaringin Timur","","Kalimantan Tengah","Kotawaringin Timur","Kotawaringin Timur, Kalimantan Tengah, Indonesia",""
"Kuantan Singingi","","Riau","Kuantan Singingi","Kuantan Singingi, Riau, Sumatera, 29563, Indonesia",""
"Kubu Raya","","Kalimantan Barat","Kubu Raya","Kubu Raya, Kalimantan Barat, Indonesia",""
"Kudus","","Jawa Tengah","Kudus","Kudus, Jawa Tengah, Jawa, 59318, Indonesia",""
"Kulon Progo","","Daerah Istimewa Yogyakarta","Kulon Progo","Kulon Progo, Daerah Istimewa Yogyakarta, Jawa, Indonesia",""
"Kuningan","","Jawa Barat","Kuningan","Kuningan, Jawa Barat, Jawa, 45511, Indonesia",""
"Kupang","","Nusa Tenggara Timur","Kupang","Kupang, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"Kutai Barat","","Kalimantan Timur","Kutai Barat","Kutai Barat, Kalimantan Timur, Indonesia",""
"Kutai Kartanegara","","Kalimantan Timur","Kutai Kartanegara","Kutai Kartanegara, Kalimantan Timur, Indonesia",""
"Kutai Timur","","Kalimantan Timur","Kutai Timur","Kutai Timur, Kalimantan Timur, Indonesia",""
"Labuhanbatu","","Sumatera Utara","Labuhanbatu","Labuhanbatu, Sumatera Utara, Sumatera, Indonesia",""
"Labuhanbatu Selatan","","Sumatera Utara","Labuhanbatu Selatan","Labuhanbatu Selatan, Sumatera Utara, Sumatera, Indonesia",""
"Labuhanbatu Utara","","Sumatera Utara","Labuhanbatu Utara","Labuhanbatu Utara, Sumatera Utara, Sumatera, Indonesia",""
"Lahat","","Sumatera Selatan","Lahat","Lahat, Jalan Raden Abdul Latief, Lahat, Sumatera Selatan, Sumatera, 31451, Indonesia",""
"Lamongan","","Jawa Timur","Lamongan","Lamongan, Jalan Panglima Sudirman, Dapur, Lamongan, Jawa Timur, Jawa, 62211, Indonesia",""
"Lampung Barat","","Lampung","Lampung Barat","Lampung Barat, Lampung, Sumatera, Indonesia",""
"Lampung Selatan","","Lampung","Lampung Selatan","Lampung Selatan, Lampung, Sumatera, Indonesia",""
"Lampung Tengah","","Lampung","Lampung Tengah","Lampung Tengah, Lampung, Sumatera, Indonesia",""
"Lampung Timur","","Lampung","Lampung Timur","Lampung Timur, Lampung, Sumatera, Indonesia",""
"Lampung Utara","","Lampung","Lampung Utara","Lampung Utara, Lampung, Sumatera, Indonesia",""
"Landak","","Kalimantan Barat","Landak","Landak, Kalimantan Barat, Indonesia",""
"Langkat","","Sumatera Utara","Langkat","Langkat, Sumatera Utara, Sumatera, Indonesia",""
"Langsa","","Aceh","Langsa","Langsa, Aceh, Sumatera, 24412, Indonesia",""
"Lebak","","Banten","Lebak","Lebak, Banten, Jawa, Indonesia",""
"Lhokseumawe","","Aceh","Lhokseumawe","Lhokseumawe, Aceh, Sumatera, Indonesia",""
"Lima Puluh Kota","","Sumatera Barat","Lima Puluh Kota","Lima Puluh Kota, Sumatera Barat, Sumatera, Indonesia",""
"Lingga","","Kepulauan Riau","Lingga","Lingga, Kepulauan Riau, Sumatera, 29872, Indonesia",""
"Lombok","","Nusa Tenggara Barat","Lombok","Lombok, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",""
"Lombok Barat","","Nusa Tenggara Barat","Lombok Barat","Lombok Barat, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",""
"Lombok Tengah","","Nusa Tenggara Barat","Lombok Tengah","Lombok Tengah, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",""
"Lombok Timur","","Nusa Tenggara Barat","Lombok Timur","Lombok Timur, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",""
"Lombok Utara","","Nusa Tenggara Barat","Lombok Utara","Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",""
"Lubuklinggau","","Sumatera Selatan","Lubuklinggau","Lubuklinggau, Sumatera Selatan, Sumatera, Indonesia",""
"Lumajang","","Jawa Timur","Lumajang","Lumajang, Jawa Timur, Jawa, Indonesia",""
"Luwu","","Sulawesi Selatan","Luwu","Luwu, Sulawesi Selatan, Sulawesi, Indonesia",""
"Luwu Timur","","Sulawesi Selatan","Luwu Timur","Luwu Timur, Sulawesi Selatan, Sulawesi, Indonesia",""
