original_name,aws_region,aws_sub_region,aws_municipality,display_name,search_method
"Luwu Utara","","Sulawesi Selatan","Luwu Utara","Luwu Utara, Sulawesi Selatan, Sulawesi, Indonesia",""
"Madiun","","Jawa Timur","Madiun","Kota Madiun, Jawa Timur, Jawa, Indonesia",""
"Madiun Kabupaten","","Jawa Timur","Madiun Kabupaten","Madiun, Sawahan, Madiun, Jawa Timur, Jawa, Indonesia",""
"Madiun Kota","","Jawa Timur","Madiun Kota","Madiun, Jalan Komisaris Polisi Sunaryo, Oro Oro Ombo, Kota Madiun, Jawa Timur, Jawa, 63102, Indonesia",""
"Magelang","","Jawa Tengah","Magelang","Kota Magelang, Jawa Tengah, Jawa, Indonesia",""
"Magelang Kabupaten","","Jawa Tengah","Magelang Kabupaten","Magelang, Jawa Tengah, Jawa, Indonesia",""
"Magelang Kota","","Jawa Tengah","Magelang Kota","Magelang, Kota Magelang, Jawa Tengah, Jawa, 56117, Indonesia",""
"Magetan","","Jawa Timur","Magetan","Magetan, Jalan Barat, Banjarejo, Magetan, Jawa Timur, Jawa, 63395, Indonesia",""
"Mahakam Hulu","","Kalimantan Timur","Mahakam Hulu","Pertamina Hulu Mahakam, TOTAL Balikpapan Base, Perum Total, Karang Jati, Balikpapan Tengah, Balikpapan, Kalimantan Timur, 76123, Indonesia",""
"Majalengka","","Jawa Barat","Majalengka","Majalengka, Jawa Barat, Jawa, Indonesia",""
"Majene","","Sulawesi Barat","Majene","Majene, Sulawesi Barat, Sulawesi, 91412, Indonesia",""
"Makassar","","Sulawesi Selatan","Makassar","Makassar, Sulawesi Selatan, Sulawesi, Indonesia",""
"Malaka","","Nusa Tenggara Timur","Malaka","Malaka, Nusa Tenggara Timur, Nusa Tenggara, 85763, Indonesia",""
"Malang","","Jawa Timur","Malang","Kota Malang, Jawa Timur, Jawa, Indonesia",""
"Malang Kabupaten","","Jawa Timur","Malang Kabupaten","Malang, Magetan, Jawa Timur, Jawa, 63395, Indonesia",""
"Malang Kota","","Jawa Timur","Malang Kota","Kota Malang, Jawa Timur, Jawa, Indonesia",""
"Malinau","","Kalimantan Utara","Malinau","Jalan Lintas Kalimantan Poros Utara, Luso, Malinau, 77554, Indonesia",""
"Maluku Tengah","","Maluku","Maluku Tengah","Maluku Tengah, Maluku, Indonesia",""
"Maluku Tenggara Barat","","Maluku","Maluku Tenggara Barat","Batas Desa Dian Pulau Kec Kei Kecil Barat Kabupaten Maluku Tenggara, Maluku Tenggara, Maluku, Indonesia",""
"Mamasa","","Sulawesi Barat","Mamasa","Mamasa, Sulawesi Barat, Sulawesi, 91362, Indonesia",""
"Mamuju","","Sulawesi Barat","Mamuju","Mamuju, Sulawesi Barat, Sulawesi, 91515, Indonesia",""
"Manado","","Sulawesi Utara","Manado","Manado, Sulawesi Utara, Sulawesi, Indonesia",""
"Mandailing Natal","","Sumatera Utara","Mandailing Natal","Mandailing Natal, Sumatera Utara, Sumatera, Indonesia",""
"Manggarai","","Nusa Tenggara Timur","Manggarai","Manggarai, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"Manggarai Barat","","Nusa Tenggara Timur","Manggarai Barat","Manggarai Barat, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"Manggarai Timur","","Nusa Tenggara Timur","Manggarai Timur","Manggarai Timur, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"Manokwari","","Papua Barat","Manokwari","Manokwari, Papua Barat, Western New Guinea, 98311, Indonesia",""
"Maros","","Sulawesi Selatan","Maros","Maros, Sulawesi Selatan, Sulawesi, Indonesia",""
"Mataram","","Nusa Tenggara Barat","Mataram","Mataram, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",""
"Maybrat","","Papua Barat Daya","Maybrat","Maybrat, Papua Barat Daya, Western New Guinea, 98277, Indonesia",""
"Medan","","Sumatera Utara","Medan","Kota Medan, Sumatera Utara, Sumatera, Indonesia",""
"Melawi","","Kalimantan Barat","Melawi","Melawi, Kalimantan Barat, 79672, Indonesia",""
"Merauke","","Papua Selatan","Merauke","Merauke, Papua Selatan, Western New Guinea, Indonesia",""
"Mesuji","","Lampung","Mesuji","Mesuji, Lampung, Sumatera, 34698, Indonesia",""
"Metro","","Lampung","Metro","Metro, Lampung, Sumatera, Indonesia",""
"Mimika","","Papua Tengah","Mimika","Mimika, Papua Tengah, Western New Guinea, 99971, Indonesia",""
"Minahasa","","Sulawesi Utara","Minahasa","Minahasa, Sulawesi Utara, Sulawesi, Indonesia",""
"Minahasa Selatan","","Sulawesi Utara","Minahasa Selatan","Minahasa Selatan, Sulawesi Utara, Sulawesi, Indonesia",""
"Minahasa Tenggara","","Sulawesi Utara","Minahasa Tenggara","Minahasa Tenggara, Sulawesi Utara, Sulawesi, Indonesia",""
"Minahasa Utara","","Sulawesi Utara","Minahasa Utara","Minahasa Utara, Sulawesi Utara, Sulawesi, Indonesia",""
"Mojokerto","","Jawa Timur","Mojokerto","Mojokerto, Jawa Timur, Jawa, Indonesia",""
"Mojokerto Kabupaten","","Jawa Timur","Mojokerto Kabupaten","Mojokerto, Jawa Timur, Jawa, Indonesia",""
"Mojokerto Kota","","Jawa Timur","Mojokerto Kota","Mojokerto, Gang Dipo, Miji, Kranggan, Kota Mojokerto, Jawa Timur, Jawa, 61318, Indonesia",""
"Morowali","","Sulawesi Tengah","Morowali","Morowali, Sulawesi Tengah, Sulawesi, Indonesia",""
"Muara Enim","","Sumatera Selatan","Muara Enim","Muara Enim, Jalan Jenderal Sudirman, Pasar1, Muara Enim, Sumatera Selatan, Sumatera, 31313, Indonesia",""
"Muaro Jambi","","Jambi","Muaro Jambi","Muaro Jambi, Jambi, Sumatera, Indonesia",""
"Mukomuko","","Bengkulu","Mukomuko","Mukomuko, Bengkulu, Sumatera, 38767, Indonesia",""
"Musi Banyuasin","","Sumatera Selatan","Musi Banyuasin","Musi Banyuasin, Sumatera Selatan, Sumatera, 30711, Indonesia",""
"Musi Rawas","","Sumatera Selatan","Musi Rawas","Musi Rawas, Sumatera Selatan, Sumatera, Indonesia",""
"Musi Rawas Utara","","Sumatera Selatan","Musi Rawas Utara","Musi Rawas Utara, Sumatera Selatan, Sumatera, 31654, Indonesia",""
"Nagan Raya","","Aceh","Nagan Raya","Nagan Raya, Aceh, Sumatera, 23671, Indonesia",""
"Natuna","","Kepulauan Riau","Natuna","Natuna, Kepulauan Riau, Sumatera, Indonesia",""
"Ngada","","Nusa Tenggara Timur","Ngada","Ngada, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"Nganjuk","","Jawa Timur","Nganjuk","Nganjuk, Jalan Diponegoro II, Nganjuk, Jawa Timur, Jawa, 64414, Indonesia",""
"Ngawi","","Jawa Timur","Ngawi","Ngawi, Jalan Raya Paron - Ngawi, Ngepehbulaan, Paron, Ngawi, Jawa Timur, Jawa, 63253, Indonesia",""
"Ogan Ilir","","Sumatera Selatan","Ogan Ilir","Ogan Ilir, Sumatera Selatan, Sumatera, Indonesia",""
"Ogan Komering Ilir","","Sumatera Selatan","Ogan Komering Ilir","Ogan Komering Ilir, Sumatera Selatan, Sumatera, Indonesia",""
"Ogan Komering Ulu","","Sumatera Selatan","Ogan Komering Ulu","Ogan Komering Ulu, Sumatera Selatan, Sumatera, Indonesia",""
"Ogan Komering Ulu Selatan","","Sumatera Selatan","Ogan Komering Ulu Selatan","Ogan Komering Ulu Selatan, Sumatera Selatan, Sumatera, Indonesia",""
"Pacitan","","Jawa Timur","Pacitan","Pacitan, Jawa Timur, Jawa, Indonesia",""
"Padang","","Sumatera Barat","Padang","Padang, Sumatera Barat, Sumatera, Indonesia",""
"Padang Lawas Utara","","Sumatera Utara","Padang Lawas Utara","Padang Lawas Utara, Sumatera Utara, Sumatera, Indonesia",""
"Padang Panjang","","Sumatera Barat","Padang Panjang","Padang Panjang, Sumatera Barat, Sumatera, Indonesia",""
"Padang Pariaman","","Sumatera Barat","Padang Pariaman","Padang Pariaman, Sumatera Barat, Sumatera, Indonesia",""
"Padangsidimpuan","","Sumatera Utara","Padangsidimpuan","Padang Sidempuan, Padangsidimpuan, Sumatera Utara, Sumatera, Indonesia",""
"Pakpak Barat","","Sumatera Utara","Pakpak Barat","Pakpak Bharat, Sumatera Utara, Sumatera, 22272, Indonesia","without_Barat"
"Palangka Raya","","Kalimantan Tengah","Palangka Raya","Palangka Raya, Kalimantan Tengah, Indonesia",""
"Palembang","","Sumatera Selatan","Palembang","Simpang 4 Babakan, 04, Palembang, Sumatera Selatan, Sumatera, 30268, Indonesia",""
"Palopo","","Sulawesi Selatan","Palopo","Palopo, Sulawesi Selatan, Sulawesi, Indonesia",""
"Palu","","Sulawesi Tengah","Palu","Palu, Kecamatan Palu Timur, Palu, Sulawesi Tengah, Sulawesi, 94112, Indonesia",""
"Pamekasan","","Jawa Timur","Pamekasan","Pamekasan, Jawa Timur, Jawa, 69317, Indonesia",""
"Pandeglang","","Banten","Pandeglang","Pandeglang, Banten, Jawa, Indonesia",""
"Pangandaran","","Jawa Barat","Pangandaran","Pangandaran, Jawa Barat, Jawa, 46396, Indonesia",""
"Pangkajene Dan Kepulauan","","Sulawesi Selatan","Pangkajene Dan Kepulauan","Pangkajene dan Kepulauan, Sulawesi Selatan, Sulawesi, Indonesia",""
"Pangkalpinang","","Kepulauan Bangka Belitung","Pangkalpinang","Pangkalpinang, Kepulauan Bangka Belitung, Sumatera, Indonesia",""
"Parepare","","Sulawesi Selatan","Parepare","Parepare, Sulawesi Selatan, Sulawesi, Indonesia",""
"Pariaman","","Sumatera Barat","Pariaman","Pariaman, Sumatera Barat, Sumatera, Indonesia",""
"Parigi Moutong","","Sulawesi Tengah","Parigi Moutong","Parigi Moutong, Sulawesi Tengah, Sulawesi, 94471, Indonesia",""
"Paser","","Kalimantan Timur","Paser","Paser, Kalimantan Timur, Indonesia",""
"Pasuruan","","Jawa Timur","Pasuruan","Pasuruan, Jawa Timur, Jawa, Indonesia",""
"Pasuruan Kabupaten","","Jawa Timur","Pasuruan Kabupaten","Pasuruan, Jalan Tol Gempol–Pasuruan, Pohjentrek, Pasuruan, Jawa Timur, Jawa, 67171, Indonesia",""
"Pasuruan Kota","","Jawa Timur","Pasuruan Kota","Pasuruan, Jalan Stasiun, Mayangan, Kota Pasuruan, Jawa Timur, Jawa, 67134, Indonesia",""
"Pati","","Jawa Tengah","Pati","Kecamatan Pati, Pati, Jawa Tengah, Jawa, Indonesia",""
"Payakumbuh","","Sumatera Barat","Payakumbuh","Payakumbuh, Sumatera Barat, Sumatera, 26218, Indonesia",""
"Pekalongan Kabupaten","","Jawa Tengah","Pekalongan Kabupaten","Tengah, Pekalongan, Jawa Tengah, Jawa, Indonesia",""
"Pekalongan Kota","","Jawa Tengah","Pekalongan Kota","Pekalongan, Jalan Gajah Mada, Bendan, Pekalongan ꦥꦼꦏꦭꦺꦴꦔꦤ꧀, Jawa Tengah, Jawa, 51118, Indonesia",""
"Pekanbaru","","Riau","Pekanbaru","Pekanbaru, Riau, Sumatera, Indonesia",""
"Pelalawan","","Riau","Pelalawan","Pelalawan, Riau, Sumatera, Indonesia",""
"Pemalang","","Jawa Tengah","Pemalang","Pemalang, Jalan Kenanga, Pemalang, Jawa Tengah, Jawa, 52312, Indonesia",""
"Pematangsiantar","","Sumatera Utara","Pematangsiantar","Kota Pematang Siantar, Kota Pematang Siantar–Simalungun, Sumatera Utara, Sumatera, Indonesia",""
"Penajam Paser Utara","","Kalimantan Timur","Penajam Paser Utara","Penajam Paser Utara, Kalimantan Timur, Indonesia",""
"Penukal Abab Lematang Ilir","","Sumatera Selatan","Penukal Abab Lematang Ilir","Penukal Abab Lematang Ilir, Sumatera Selatan, Sumatera, Indonesia",""
"Pesawaran","","Lampung","Pesawaran","Pesawaran, Lampung, Sumatera, Indonesia",""
"Pesisir Barat","","Lampung","Pesisir Barat","Pesisir Barat, Lampung, Sumatera, 34574, Indonesia",""
"Pesisir Selatan","","Sumatera Barat","Pesisir Selatan","Pesisir Selatan, Sumatera Barat, Sumatera, Indonesia",""
"Pidie","","Aceh","Pidie","Pidie, Aceh, Sumatera, Indonesia",""
"Pinrang","","Sulawesi Selatan","Pinrang","Pinrang, Sulawesi Selatan, Sulawesi, Indonesia",""
"Pohuwato","","Gorontalo","Pohuwato","Pohuwato, Gorontalo, Sulawesi, Indonesia",""
"Polewali Mandar","","Sulawesi Barat","Polewali Mandar","Polewali Mandar, Sulawesi Barat, Sulawesi, Indonesia",""
"Ponorogo","","Jawa Timur","Ponorogo","Ponorogo, Jawa Timur, Jawa, 63416, Indonesia",""
"Pontianak","","Kalimantan Barat","Pontianak","Pontianak, Kalimantan Barat, Indonesia",""
"Pontianak Kabupaten","","Kalimantan Barat","Pontianak Kabupaten","Pulau Pontianak, Jawai Laut, Jawai Selatan, Sambas, Kalimantan Barat, Indonesia",""
"Poso","","Sulawesi Tengah","Poso","Poso, Sulawesi Tengah, Sulawesi, Indonesia",""
"Prabumulih","","Sumatera Selatan","Prabumulih","Prabumulih, Sumatera Selatan, Sumatera, Indonesia",""
"Pringsewu","","Lampung","Pringsewu","Pringsewu, Lampung, Sumatera, 35373, Indonesia",""
"Probolinggo","","Jawa Timur","Probolinggo","Kota Probolinggo, Jawa Timur, Jawa, Indonesia",""
"Probolinggo Kabupaten","","Jawa Timur","Probolinggo Kabupaten","Probolinggo, Jawa Timur, Jawa, Indonesia",""
"Probolinggo Kota","","Jawa Timur","Probolinggo Kota","Probolinggo, Jalan Lumba-Lumba, Mayangan, Kota Probolinggo, Jawa Timur, Jawa, 67218, Indonesia",""
"Purbalingga","","Jawa Tengah","Purbalingga","Purbalingga, Jawa Tengah, Jawa, Indonesia",""
"Purwakarta","","Jawa Barat","Purwakarta","Purwakarta, Jawa Barat, Jawa, 41113, Indonesia",""
"Purworejo","","Jawa Tengah","Purworejo","Purworejo, Jawa Tengah, Jawa, Indonesia",""
"Raja Ampat","","Papua Barat Daya","Raja Ampat","Raja Ampat, Papua Barat Daya, Western New Guinea, Indonesia",""
"Rejang Lebong","","Bengkulu","Rejang Lebong","Rejang Lebong, Bengkulu, Sumatera, Indonesia",""
"Rembang","","Jawa Tengah","Rembang","Rembang, Jawa Tengah, Jawa, 59211, Indonesia",""
"Rokan Hilir","","Riau","Rokan Hilir","Rokan Hilir, Riau, Sumatera, Indonesia",""
"Rokan Hulu","","Riau","Rokan Hulu","Rokan Hulu, Riau, Sumatera, Indonesia",""
"Rote Ndao","","Nusa Tenggara Timur","Rote Ndao","Rote Ndao, Nusa Tenggara Timur, Nusa Tenggara, 85371, Indonesia",""
"Sabang","","Aceh","Sabang","Sabang, Aceh, Sumatera, Indonesia",""
"Salatiga","","Jawa Tengah","Salatiga","Salatiga, Jawa Tengah, Jawa, Indonesia",""
"Samarinda","","Kalimantan Timur","Samarinda","Samarinda, Kalimantan Timur, Indonesia",""
"Sambas","","Kalimantan Barat","Sambas","Sambas, Kalimantan Barat, 79462, Indonesia",""
"Samosir","","Sumatera Utara","Samosir","Pulau Samosir, Samosir, Sumatera Utara, Sumatera, Indonesia",""
"Sampang","","Jawa Timur","Sampang","Sampang, Jawa Timur, Jawa, Indonesia",""
"Sanggau","","Kalimantan Barat","Sanggau","Sanggau, Kalimantan Barat, Indonesia",""
"Sarolangun","","Jambi","Sarolangun","Sarolangun, Jambi, Sumatera, 37481, Indonesia",""
"Sawahlunto","","Sumatera Barat","Sawahlunto","Sawahlunto, Sumatera Barat, Sumatera, 27422, Indonesia",""
"Sekadau","","Kalimantan Barat","Sekadau","Sekadau, Kalimantan Barat, 79582, Indonesia",""
"Seluma","","Bengkulu","Seluma","Seluma, Bengkulu, Sumatera, Indonesia",""
"Semarang","","Jawa Tengah","Semarang","Kota Semarang, Jawa Tengah, Jawa, Indonesia",""
"Semarang Kabupaten","","Jawa Tengah","Semarang Kabupaten","Semarang, Banjarnegara, Jawa Tengah, Jawa, 53412, Indonesia",""
"Semarang Kota","","Jawa Tengah","Semarang Kota","Kota Semarang, Jawa Tengah, Jawa, Indonesia",""
"Serang","","Banten","Serang","Serang, Banten, Jawa, Indonesia",""
"Serang Kabupaten","","Banten","Serang Kabupaten","Kab Serang, Banten, Jawa, Indonesia",""
"Serang Kota","","Banten","Serang Kota","Banten, Kasemen, Serang, Banten, Jawa, Indonesia",""
"Serdang Bedagai","","Sumatera Utara","Serdang Bedagai","Serdang Bedagai, Sumatera Utara, Sumatera, Indonesia",""
"Seruyan","","Kalimantan Tengah","Seruyan","Seruyan, Kalimantan Tengah, Indonesia",""
"Siak","","Riau","Siak","Siak, Riau, Sumatera, Indonesia",""
"Sidenreng Rappang","","Sulawesi Selatan","Sidenreng Rappang","Sidenreng Rappang, Sulawesi Selatan, Sulawesi, Indonesia",""
"Sidoarjo","","Jawa Timur","Sidoarjo","Sidoarjo, Jawa Timur, Jawa, Indonesia",""
"Sigi","","Sulawesi Tengah","Sigi","Sigi, Sulawesi Tengah, Sulawesi, Indonesia",""
"Sikka","","Nusa Tenggara Timur","Sikka","Sikka, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"Simalungun","","Sumatera Utara","Simalungun","Simalungun, Sumatera Utara, Sumatera, Indonesia",""
"Simeulue","","Aceh","Simeulue","Simeulue, Aceh, Sumatera, 23891, Indonesia",""
"Singkawang","","Kalimantan Barat","Singkawang","Singkawang, Kalimantan Barat, Indonesia",""
"Sinjai","","Sulawesi Selatan","Sinjai","Sinjai, Sulawesi Selatan, Sulawesi, Indonesia",""
"Sintang","","Kalimantan Barat","Sintang","Sintang, Kalimantan Barat, Indonesia",""
"Situbondo","","Jawa Timur","Situbondo","Situbondo, Jawa Timur, Jawa, Indonesia",""
"Sleman","","Daerah Istimewa Yogyakarta","Sleman","Sleman, Triharjo, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55514, Indonesia",""
"Solok","","Sumatera Barat","Solok","Solok, Sumatera Barat, Sumatera, 27365, Indonesia",""
"Solok Selatan","","Sumatera Barat","Solok Selatan","Solok Selatan, Sumatera Barat, Sumatera, Indonesia",""
"Sorong","","Papua Barat Daya","Sorong","Sorong, Papua Barat Daya, Western New Guinea, Indonesia",""
"Sragen","","Jawa Tengah","Sragen","Sragen, Jalan Diponegoro, Sragen, Jawa Tengah, Jawa, 57211, Indonesia",""
"Subang","","Jawa Barat","Subang","Subang, Jawa Barat, Jawa, Indonesia",""
"Subulussalam","","Aceh","Subulussalam","Subulussalam, Aceh, Sumatera, 24783, Indonesia",""
"Sukabumi","","Jawa Barat","Sukabumi","Sukabumi, Jawa Barat, Jawa, Indonesia",""
"Sukabumi Kabupaten","","Jawa Barat","Sukabumi Kabupaten","WARGEMART SUPERWARUNG, SUKABUMI, Gang Paraji II, Wangunreja, Kab Sukabumi, Jawa Barat, Jawa, 43196, Indonesia",""
"Sukabumi Kota","","Jawa Barat","Sukabumi Kota","Sukabumi, Jalan Stasiun Barat, Gunung Parang, Sukabumi, Jawa Barat, Jawa, 43141, Indonesia",""
"Sukoharjo","","Jawa Tengah","Sukoharjo","Sukoharjo, Jawa Tengah, Jawa, Indonesia",""
"Sumba Barat","","Nusa Tenggara Timur","Sumba Barat","Sumba Barat, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"Sumba Barat Daya","","Nusa Tenggara Timur","Sumba Barat Daya","Sumba Barat Daya, Nusa Tenggara Timur, Nusa Tenggara, 87254, Indonesia",""
"Sumba Tengah","","Nusa Tenggara Timur","Sumba Tengah","Sumba Tengah, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"Sumba Timur","","Nusa Tenggara Timur","Sumba Timur","Sumba Timur, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"Sumbawa","","Nusa Tenggara Barat","Sumbawa","Pulau Sumbawa, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",""
"Sumbawa Barat","","Nusa Tenggara Barat","Sumbawa Barat","Sumbawa Barat, Nusa Tenggara Barat, Nusa Tenggara, 84356, Indonesia",""
"Sumedang","","Jawa Barat","Sumedang","Sumedang, Jawa Barat, Jawa, 45355, Indonesia",""
"Sumenep","","Jawa Timur","Sumenep","Sumenep, Jawa Timur, Jawa, Indonesia",""
"Surabaya","","Jawa Timur","Surabaya","Surabaya ꦱꦸꦫꦧꦪ, Jawa Timur, Jawa, Indonesia",""
"Surakarta","","Jawa Tengah","Surakarta","Surakarta, Jawa Tengah, Jawa, Indonesia",""
"Tabalong","","Kalimantan Selatan","Tabalong","Tabalong, Kalimantan Selatan, Indonesia",""
"Tabanan","","Bali","Tabanan","Tabanan, desa delod peken, Tabanan, Bali, Nusa Tenggara, 08351, Indonesia",""
"Takalar","","Sulawesi Selatan","Takalar","Takalar, Sulawesi Selatan, Sulawesi, Indonesia",""
"Tanah Bumbu","","Kalimantan Selatan","Tanah Bumbu","Tanah Bumbu, Kalimantan Selatan, Indonesia",""
"Tanah Datar","","Sumatera Barat","Tanah Datar","Tanah Datar, Sumatera Barat, Sumatera, Indonesia",""
"Tanah Laut","","Kalimantan Selatan","Tanah Laut","Tanah Laut, Kalimantan Selatan, Indonesia",""
"Tangerang","JABODETABEK","Banten","Tangerang","Tangerang, Banten, Jawa, Indonesia",""
"Tangerang Kabupaten","JABODETABEK","Banten","Tangerang Kabupaten","Kabupaten Tangerang, Banten, Jawa, Indonesia",""
"Tangerang Kota","","Banten","Tangerang Kota","Tangerang, Jalan Kiasnawi, Sukarasa, Tangerang, Banten, Jawa, 15520, Indonesia",""
"Tangerang Selatan","","Banten","Tangerang Selatan","Tangerang Selatan, Banten, Jawa, Indonesia",""
"Tanggamus","","Lampung","Tanggamus","Tanggamus, Lampung, Sumatera, Indonesia",""
"Tanjung Jabung Barat","","Jambi","Tanjung Jabung Barat","Tanjung Jabung Barat, Jambi, Sumatera, Indonesia",""
"Tanjung Jabung Timur","","Jambi","Tanjung Jabung Timur","Tanjung Jabung Timur, Jambi, Sumatera, Indonesia",""
"Tanjungbalai","","Sumatera Utara","Tanjungbalai","Tanjungbalai, Kota Tanjung Balai, Sumatera Utara, Sumatera, 21314, Indonesia",""
"Tanjungpinang","","Kepulauan Riau","Tanjungpinang","Tanjungpinang, Kepulauan Riau, Sumatera, Indonesia",""
"Tapanuli Selatan","","Sumatera Utara","Tapanuli Selatan","Tapanuli Selatan, Sumatera Utara, Sumatera, Indonesia",""
"Tapanuli Tengah","","Sumatera Utara","Tapanuli Tengah","Tapanuli Tengah, Sumatera Utara, Sumatera, Indonesia",""
"Tapanuli Utara","","Sumatera Utara","Tapanuli Utara","Tapanuli Utara, Sumatera Utara, Sumatera, Indonesia",""
"Tapin","","Kalimantan Selatan","Tapin","Tapin, Kalimantan Selatan, Indonesia",""
"Tarakan","","Kalimantan Utara","Tarakan","KSR PMI Kota Tarakan, Jalan Pulau Kalimantan, Kampung 1 Skip, Tarakan, 77112, Indonesia",""
"Tasikmalaya Kabupaten","","Jawa Barat","Tasikmalaya Kabupaten","Tasikmalaya, Jawa Barat, Jawa, Indonesia",""
"Tasikmalaya Kota","","Jawa Barat","Tasikmalaya Kota","Tasikmalaya, Jalan Stasion, Tawangsari, Tawang, Tasikmalaya, Jawa Barat, Jawa, 46131, Indonesia",""
"Tebingtinggi","","Sumatera Utara","Tebingtinggi","vapor_noob.tebingtinggi, Jalan Kapten Pierre Tandean, Tebing Tinggi, Kota Tebing Tinggi, Sumatera Utara, Sumatera, 20606, Indonesia",""
"Tebo","","Jambi","Tebo","Tebo, Jambi, Sumatera, Indonesia",""
"Tegal","","Jawa Tengah","Tegal","Tegal, Jawa Tengah, Jawa, Indonesia",""
"Tegal Kabupaten","","Jawa Tengah","Tegal Kabupaten","Tegal, Banjarnegara, Jawa Tengah, Jawa, Indonesia",""
"Tegal Kota","","Jawa Tengah","Tegal Kota","Tegal, Rowobranten, Kendal, Jawa Tengah, Jawa, 51356, Indonesia",""
"Teluk Bintuni","","Papua Barat","Teluk Bintuni","Teluk Bintuni, Papua Barat, Western New Guinea, Indonesia",""
"Temanggung","","Jawa Tengah","Temanggung","Temanggung, Jawa Tengah, Jawa, 56216, Indonesia",""
"Ternate","","Maluku Utara","Ternate","Ternate, Maluku Utara, Maluku, Indonesia",""
"Toba Samosir","","Sumatera Utara","Toba Samosir","Sampur Toba, Samosir, Sumatera Utara, Sumatera, 22393, Indonesia",""
"Tolitoli","","Sulawesi Tengah","Tolitoli","Tolitoli, Sulawesi Tengah, Sulawesi, Indonesia",""
"Tomohon","","Sulawesi Utara","Tomohon","Tomohon, Sulawesi Utara, Sulawesi, Indonesia",""
"Trenggalek","","Jawa Timur","Trenggalek","Trenggalek, Jawa Timur, Jawa, Indonesia",""
"Tuban","","Jawa Timur","Tuban","Tuban, Jawa Timur, Jawa, Indonesia",""
"Tulang Bawang Barat","","Lampung","Tulang Bawang Barat","Tulang Bawang Barat, Lampung, Sumatera, Indonesia",""
"Tulangbawang","","Lampung","Tulangbawang","Sungai Tulangbawang, Tulang Bawang, Lampung, Sumatera, Indonesia",""
"Tulungagung","","Jawa Timur","Tulungagung","Tulungagung, Jawa Timur, Jawa, Indonesia",""
"Wajo","","Sulawesi Selatan","Wajo","Wajo, Makassar, Sulawesi Selatan, Sulawesi, Indonesia",""
"Waropen","","Papua","Waropen","Waropen, Papua, Western New Guinea, Indonesia",""
"Way Kanan","","Lampung","Way Kanan","Way Kanan, Lampung, Sumatera, Indonesia",""
"Wonogiri","","Jawa Tengah","Wonogiri","Wonogiri, Jalan Panglima Besar Sudirman, Wonogiri, Jawa Tengah, Jawa, 57612, Indonesia",""
"Wonosobo","","Jawa Tengah","Wonosobo","Wonosobo, Jawa Tengah, Jawa, 56311, Indonesia",""
"Yahukimo","","Papua Pegunungan","Yahukimo","Yahukimo, Papua Pegunungan, Western New Guinea, Indonesia",""
"Yogyakarta","","Daerah Istimewa Yogyakarta","Yogyakarta","Kota Yogyakarta, Daerah Istimewa Yogyakarta, Jawa, Indonesia",""
